query,answer,response,nli_result,confidence
,Ben Affleck.,,entailment,"[0.09813595563173294, 0.3608796298503876, 0.5409843921661377]"
,"March 6, 2020.",,neutral,"[0.062325261533260345, 0.4957883954048157, 0.441886305809021]"
,"Jack Cunningham, an alcoholic construction worker, is recruited to become head coach of his high school basketball team.",,neutral,"[0.05371115729212761, 0.5739116668701172, 0.3723771572113037]"
,"It suffered at the box office due to cinemas closing, as it was only in theaters for two weeks before being released digitally.",,neutral,"[0.03596097230911255, 0.8771132826805115, 0.08692575246095657]"
,"He struggles with alcoholism and unresolved grief over his son's death, which leads to a relapse that strains his relationships until he seeks help.",,neutral,"[0.011568649671971798, 0.9289711713790894, 0.05946008861064911]"
,Uncle Frank,,entailment,"[0.08978242427110672, 0.40272057056427, 0.5074969530105591]"
,Paul Bettany and Sophia Lillis,,entailment,"[0.12936632335186005, 0.4325197637081146, 0.4381139576435089]"
,Sundance Film Festival,,entailment,"[0.07166990637779236, 0.4451935291290283, 0.48313653469085693]"
,That Frank is secretly gay and has been living with an Arabic Muslim man named Walid,,neutral,"[0.03623184561729431, 0.8072876334190369, 0.15648047626018524]"
,His teenage relationship with a local boy and the harsh rejection by his father,,neutral,"[0.03242357820272446, 0.685084342956543, 0.2824920415878296]"
,"Despite some family members rejecting him, Frank is embraced by those who truly love him",,neutral,"[0.07065005600452423, 0.8557683825492859, 0.0735815167427063]"
,Uncorked,,entailment,"[0.0381539948284626, 0.1655527949333191, 0.7962931990623474]"
,Netflix,,entailment,"[0.07407081127166748, 0.4357318580150604, 0.4901973605155945]"
,To become a master sommelier,,neutral,"[0.015688413754105568, 0.7474017143249512, 0.2369099259376526]"
,His father expects him to take over the family restaurant instead of pursuing his passion for wine,,neutral,"[0.03386848047375679, 0.6253940463066101, 0.3407374322414398]"
,He raises money by fundraising and selling his car,,neutral,"[0.018043074756860733, 0.7862956523895264, 0.19566118717193604]"
,"Seeing a friend who, despite struggles, succeeded as a master sommelier",,neutral,"[0.025572095066308975, 0.7412818670272827, 0.2331460565328598]"
,Unhinged,,entailment,"[0.013927383348345757, 0.30832621455192566, 0.6777464151382446]"
,Russell Crowe,,entailment,"[0.08494337648153305, 0.4324522912502289, 0.48260438442230225]"
,"August 21, 2020",,neutral,"[0.08174550533294678, 0.48429033160209656, 0.43396419286727905]"
,A routine traffic altercation escalates into a personal vendetta,,neutral,"[0.03619805723428726, 0.5968830585479736, 0.3669188618659973]"
,"Rachel stabs Tom in the eye with scissors during their struggle, resulting in his death",,neutral,"[0.04885302111506462, 0.6294814348220825, 0.32166552543640137]"
,Tom exploits phone and GPS technology to track and control his victims,,neutral,"[0.0312049463391304, 0.6456208825111389, 0.3231741487979889]"
,Unpregnant,,entailment,"[0.04626662656664848, 0.29597002267837524, 0.6577634215354919]"
,HBO Max,,entailment,"[0.2510017156600952, 0.3666185140609741, 0.3823797404766083]"
,Veronica and Bailey,,entailment,"[0.12601986527442932, 0.3873685300350189, 0.48661160469055176]"
,"Veronica cannot obtain an abortion in Missouri without parental consent, forcing her to travel to Albuquerque",,neutral,"[0.06322109699249268, 0.7786227464675903, 0.1581561416387558]"
,They steal a GMC Yukon and fake their own deaths,,neutral,"[0.04063393175601959, 0.7924900650978088, 0.16687606275081635]"
,"She chooses to proceed with the abortion despite Kevin's threats, asserting her autonomy",,neutral,"[0.05184418335556984, 0.6178267598152161, 0.3303290605545044]"
,Vampires vs. the Bronx,,entailment,"[0.07452255487442017, 0.43431541323661804, 0.49116194248199463]"
,Netflix,,entailment,"[0.07407081127166748, 0.4357318580150604, 0.4901973605155945]"
,Comedy and horror with social commentary,,neutral,"[0.021025056019425392, 0.589166522026062, 0.3898084759712219]"
,Ben Affleck,,entailment,"[0.09881800413131714, 0.4029267728328705, 0.4982552230358124]"
,We Bare Bears: The Movie,,entailment,"[0.08420053124427795, 0.40532851219177246, 0.5104708671569824]"
,Officer Murphy rescues them and the community eventually embraces the bears,,neutral,"[0.09846748411655426, 0.8372282981872559, 0.0643041729927063]"
,We Can Be Heroes,,neutral,"[0.017511514946818352, 0.630946695804596, 0.35154175758361816]"
,Robert Rodriguez,,neutral,"[0.165244922041893, 0.4249713122844696, 0.40978381037712097]"
,A group of super-powered kids battle an alien invasion,,neutral,"[0.023883597925305367, 0.6481509208679199, 0.3279654383659363]"
,Her drawings predict the future,,neutral,"[0.016104429960250854, 0.516332745552063, 0.46756285429000854]"
,It was faked to train the kids,,neutral,"[0.01237912941724062, 0.8216385841369629, 0.16598224639892578]"
,They swap the alien-controlled motherboard to deactivate the rocket,,neutral,"[0.06969471275806427, 0.7241383194923401, 0.20616695284843445]"
,The New Mutants,,neutral,"[0.17591023445129395, 0.4443496763706207, 0.37974005937576294]"
,Josh Boone,,entailment,"[0.1128007024526596, 0.42547112703323364, 0.46172821521759033]"
,Marvel Comics' The New Mutants,,entailment,"[0.06053934618830681, 0.41159728169441223, 0.5278633832931519]"
,Young mutants confined in a secret facility fight for survival,,neutral,"[0.0136066023260355, 0.5600177645683289, 0.4263756275177002]"
,Delays due to planned reshoots and Disney's acquisition of Fox,,neutral,"[0.0455915629863739, 0.8407292366027832, 0.11367921531200409]"
,"It was a box office flop, grossing only $49.2 million worldwide",,neutral,"[0.006656012963503599, 0.8536161780357361, 0.13972777128219604]"
,The Night Clerk,,neutral,"[0.11997374892234802, 0.45570188760757446, 0.4243243932723999]"
,Michael Cristofer,,neutral,"[0.22544457018375397, 0.5171141028404236, 0.2574414312839508]"
,Hotel night desk clerk,,neutral,"[0.17673559486865997, 0.47052451968193054, 0.35273993015289307]"
,Asperger syndrome,,neutral,"[0.11585019528865814, 0.5198217630386353, 0.364327996969223]"
,He uses hidden cameras to observe and mimic guest behavior,,neutral,"[0.011300656944513321, 0.8870694041252136, 0.10162995010614395]"
,He intervenes during a violent altercation in a guest’s room,,neutral,"[0.05536390095949173, 0.7187972664833069, 0.225838765501976]"
,The Owners,,entailment,"[0.021354978904128075, 0.3087158799171448, 0.6699292063713074]"
,Julius Berg,,neutral,"[0.28027334809303284, 0.4515121579170227, 0.26821449398994446]"
,A retired couple's home is besieged by young criminals,,neutral,"[0.030288496986031532, 0.5669950842857361, 0.40271636843681335]"
,Une nuit de pleine lune by Hermann Huppen and Yves H.,,neutral,"[0.07475913316011429, 0.49942001700401306, 0.425820916891098]"
,It merges horror thriller elements with international co-production influences,,neutral,"[0.010944976471364498, 0.7546375393867493, 0.23441757261753082]"
,"It is a co-production between the United States, United Kingdom, and France",,neutral,"[0.016170281916856766, 0.7144243121147156, 0.2694053649902344]"
,The Personal History of David Copperfield,,entailment,"[0.04490784555673599, 0.4769035279750824, 0.47818857431411743]"
,Armando Iannucci,,entailment,"[0.23366490006446838, 0.3796374499797821, 0.3866976499557495]"
,David Copperfield by Charles Dickens,,entailment,"[0.05516535043716431, 0.41295522451400757, 0.5318794250488281]"
,Dev Patel,,neutral,"[0.26138296723365784, 0.45148977637290955, 0.28712716698646545]"
,A blend of historical narrative with modern comedic elements,,neutral,"[0.013246237300336361, 0.5368133783340454, 0.44994038343429565]"
,It premiered at TIFF and was released theatrically in the UK and US in 2020,,neutral,"[0.03541021794080734, 0.7907838225364685, 0.17380595207214355]"
,The Photograph,,entailment,"[0.07466442137956619, 0.41366302967071533, 0.5116725564002991]"
,Stella Meghie,,entailment,"[0.20253391563892365, 0.3986865282058716, 0.39877957105636597]"
,An estranged daughter investigates her late mother's past while falling in love with a journalist,,neutral,"[0.042398639023303986, 0.6771904826164246, 0.2804107666015625]"
,Issa Rae and LaKeith Stanfield,,entailment,"[0.15119272470474243, 0.4215192496776581, 0.4272880554199219]"
,The influence of family secrets on personal identity,,neutral,"[0.010283705778419971, 0.5520576238632202, 0.43765872716903687]"
,It is produced by Universal Pictures and Will Packer Productions,,neutral,"[0.026612218469381332, 0.6857622861862183, 0.2876254916191101]"
,The Prom,,neutral,"[0.10758871585130692, 0.46849536895751953, 0.42391589283943176]"
,Ryan Murphy,,neutral,"[0.2776527404785156, 0.45171311497688293, 0.27063417434692383]"
,A 2018 Broadway musical of the same name,,neutral,"[0.04661424085497856, 0.718235194683075, 0.2351505607366562]"
,Emma Nolan,,neutral,"[0.19932030141353607, 0.4468286335468292, 0.3538510501384735]"
,High school students challenge conservative norms at prom,,neutral,"[0.03241382911801338, 0.5277822613716125, 0.4398038387298584]"
,They underscore themes of acceptance and empowerment through energetic performances,,neutral,"[0.004172459244728088, 0.9164672493934631, 0.07936038821935654]"
,The Rental,,entailment,"[0.11757569015026093, 0.36244291067123413, 0.5199813842773438]"
,Dave Franco,,neutral,"[0.18496400117874146, 0.43954864144325256, 0.3754873275756836]"
,Two couples suspect they are being watched in their rented house,,neutral,"[0.010966848582029343, 0.6924014091491699, 0.29663172364234924]"
,Through the gradual discovery of hidden cameras that heighten the couples’ paranoia,,neutral,"[0.03165764734148979, 0.7518354058265686, 0.2165069580078125]"
,The use of hidden cameras and covert surveillance,,neutral,"[0.003905892837792635, 0.632099986076355, 0.3639940619468689]"
,It does not provide explicit details on its reception,,neutral,"[0.0090563939884305, 0.5881009101867676, 0.4028427004814148]"
,The Roads Not Taken,,entailment,"[0.016772441565990448, 0.25862938165664673, 0.7245981693267822]"
,Sally Potter,,neutral,"[0.3189927935600281, 0.37445494532585144, 0.3065522611141205]"
,The impact of dementia on personal identity and family relationships,,neutral,"[0.0211417805403471, 0.7101693153381348, 0.26868897676467896]"
,Javier Bardem,,neutral,"[0.3308730721473694, 0.39945968985557556, 0.26966723799705505]"
,He suffers from confusion and embarrassing mishaps due to dementia,,neutral,"[0.010815034620463848, 0.8835505843162537, 0.1056344136595726]"
,It offers a poignant and reflective look at the hardships of dementia,,neutral,"[0.017515890300273895, 0.7502592206001282, 0.23222485184669495]"
,answer,,entailment,"[0.19368021190166473, 0.31867629289627075, 0.48764342069625854]"
,answer,,entailment,"[0.19368021190166473, 0.31867629289627075, 0.48764342069625854]"
,The Secret: Dare to Dream,,entailment,"[0.027086453512310982, 0.3725201487541199, 0.6003933548927307]"
,Andy Tennant,,neutral,"[0.2931406795978546, 0.4634705185890198, 0.2433888018131256]"
,The Secret by Rhonda Byrne,,entailment,"[0.0813751146197319, 0.4475939869880676, 0.47103095054626465]"
,"Katie Holmes, Josh Lucas, Jerry O'Connell, and Celia Weston",,entailment,"[0.09448489546775818, 0.4101373255252838, 0.4953777492046356]"
,Miranda rear-ends Bray's truck,,neutral,"[0.13525381684303284, 0.5288240313529968, 0.3359220623970032]"
,"She calls off her engagement and resigns her job, setting her on a new path with Bray",,neutral,"[0.1214088648557663, 0.8069117665290833, 0.07167935371398926]"
,The Stand In,,entailment,"[0.07067744433879852, 0.35430967807769775, 0.5750128030776978]"
,Jamie Babbit,,neutral,"[0.18721266090869904, 0.5206498503684998, 0.2921375036239624]"
,Drew Barrymore,,entailment,"[0.18938225507736206, 0.4032071828842163, 0.40741047263145447]"
,"A former stand-in (Paula) is recruited to help a once-popular actress, Candy Black, stage a comeback, leading to an identity swap and relationship complications.",,neutral,"[0.03680918365716934, 0.7640566825866699, 0.19913417100906372]"
,Paula deliberately sabotages Cathy’s relationship with Steve to further her own career as Candy Black.,,neutral,"[0.04798156023025513, 0.7611914873123169, 0.19082698225975037]"
,"After a series of identity mix-ups and confrontations, Cathy and Steve reunite and build a new life, while Paula succeeds in establishing Candy Black’s comeback career.",,neutral,"[0.12980519235134125, 0.7331474423408508, 0.13704729080200195]"
,The Hunt,,entailment,"[0.05802219733595848, 0.2605620324611664, 0.6814157366752625]"
,Craig Zobel,,neutral,"[0.1525319665670395, 0.4774492681026459, 0.37001872062683105]"
,Betty Gilpin and Hilary Swank,,neutral,"[0.26986294984817505, 0.4379999339580536, 0.292137086391449]"
,"Elites kidnap working-class individuals and hunt them for sport, serving as a satirical take on America’s political divides.",,neutral,"[0.038701314479112625, 0.5953417420387268, 0.36595696210861206]"
,Mass shootings in El Paso and Dayton,,neutral,"[0.05566900968551636, 0.6172343492507935, 0.3270966708660126]"
,"It was released in U.S. theaters on March 13, 2020, and then made available digitally on Premium VOD three days later",,neutral,"[0.008141588419675827, 0.985897421836853, 0.005960965994745493]"
,answer,,entailment,"[0.19368021190166473, 0.31867629289627075, 0.48764342069625854]"
,answer,,entailment,"[0.19368021190166473, 0.31867629289627075, 0.48764342069625854]"
,The Silencing,,entailment,"[0.07353051006793976, 0.28577888011932373, 0.6406905651092529]"
,Robin Pront,,neutral,"[0.18578113615512848, 0.4645513892173767, 0.349667489528656]"
,"Nikolaj Coster-Waldau, Annabelle Wallis, Hero Fiennes-Tiffin, Zahn McClarnon, and Melanie Scrofano",,neutral,"[0.14490774273872375, 0.4808870851993561, 0.374205082654953]"
,A hunter and a sheriff track down a murderer who may have kidnapped the hunter's daughter years before,,neutral,"[0.06823292374610901, 0.4660314619541168, 0.46573564410209656]"
,"Through DirecTV Cinema on July 16, 2020, and in theaters and on VOD on August 14, 2020 by Saban Films",,neutral,"[0.05553240329027176, 0.6473404765129089, 0.2971270978450775]"
,"The disappearance of his daughter, Gwen",,neutral,"[0.044953085482120514, 0.5321409106254578, 0.4229060113430023]"
,The SpongeBob Movie: Sponge on the Run,,entailment,"[0.07575954496860504, 0.4273962378501892, 0.49684420228004456]"
,Tim Hill,,neutral,"[0.2133433073759079, 0.4910980463027954, 0.2955586314201355]"
,It is the first film in the franchise to be fully animated in stylized computer-generated imagery (CGI),,neutral,"[0.011981911957263947, 0.8585835695266724, 0.12943445146083832]"
,"SpongeBob embarks on a quest to rescue his pet snail, Gary, after Gary is kidnapped",,entailment,"[0.05139514431357384, 0.46083658933639526, 0.48776817321777344]"
,"Awkwafina, Snoop Dogg, Tiffany Haddish, Keanu Reeves, Danny Trejo, and Reggie Watts",,entailment,"[0.117222361266613, 0.414878785610199, 0.46789881587028503]"
,"It was released theatrically in Canada, digitally on Netflix in other territories, and via PVOD/Paramount+ in the U.S.",,neutral,"[0.04098129644989967, 0.6507001519203186, 0.3083185851573944]"
,Andrea Di Stefano,,neutral,"[0.2963484823703766, 0.40257468819618225, 0.30107682943344116]"
,Aviron Pictures and Thunder Road Films,,entailment,"[0.11542723327875137, 0.4207209348678589, 0.46385180950164795]"
,"Joel Kinnaman, Rosamund Pike, Common, Ana de Armas, Clive Owen",,entailment,"[0.12024898827075958, 0.3828538656234741, 0.4968971610069275]"
,An ex-con turned FBI informant infiltrates a criminal organization under dangerous circumstances.,,entailment,"[0.019380509853363037, 0.44601020216941833, 0.534609317779541]"
,The film is based on the novel 'Three Seconds' by Roslund & Hellström.,,neutral,"[0.036611158400774, 0.6414211392402649, 0.3219676613807678]"
,Multiple delays due to financial and distribution issues.,,neutral,"[0.02176452986896038, 0.7036197185516357, 0.2746157944202423]"
,Evan Morgan,,neutral,"[0.1751469522714615, 0.4198373556137085, 0.4050156772136688]"
,Adam Brody,,neutral,"[0.1676560491323471, 0.4817224144935608, 0.35062146186828613]"
,The disappearance of his close friend Gracie Gulliver.,,neutral,"[0.05684959143400192, 0.5336706638336182, 0.40947970747947693]"
,"He investigates the murder of a high school student, uncovering secrets about drug dealing, infidelity, and a connection to his past.",,neutral,"[0.026333266869187355, 0.7776508331298828, 0.196015864610672]"
,"It was filmed on location in North Bay, Ontario in just 26 days.",,neutral,"[0.007264249492436647, 0.9603695273399353, 0.032366201281547546]"
,"It received generally favorable reviews, with an 84% approval rating on Rotten Tomatoes.",,neutral,"[0.002577883657068014, 0.8008360862731934, 0.19658607244491577]"
,Judd Apatow,,neutral,"[0.2632790505886078, 0.45669984817504883, 0.2800211012363434]"
,Judd Apatow,,neutral,"[0.2632790505886078, 0.45669984817504883, 0.2800211012363434]"
,"Universal Pictures, Apatow Productions, Perfect World Pictures",,entailment,"[0.07681320607662201, 0.38554030656814575, 0.537646472454071]"
,Pete Davidson and Dave Sirus,,neutral,"[0.17256638407707214, 0.4598553776741028, 0.36757826805114746]"
,Maude Apatow,,neutral,"[0.20987695455551147, 0.5097879767417908, 0.28033509850502014]"
,2020,,neutral,"[0.07483390718698502, 0.5537959337234497, 0.37137025594711304]"
,June and July 2019,,neutral,"[0.0641179084777832, 0.50467449426651, 0.4312075674533844]"
,Olivier Megaton,,entailment,"[0.24700778722763062, 0.3751603662967682, 0.3778318762779236]"
,Karl Gajdusek,,neutral,"[0.2118377387523651, 0.42720115184783936, 0.3609611392021179]"
,Rick Remender and Greg Tocchini,,neutral,"[0.14062082767486572, 0.44163408875465393, 0.41774502396583557]"
,Netflix,,entailment,"[0.07407081127166748, 0.4357318580150604, 0.4901973605155945]"
,Édgar Ramírez,,neutral,"[0.21521416306495667, 0.4330228567123413, 0.35176295042037964]"
,0% approval rating,,entailment,"[0.044030532240867615, 0.4675157070159912, 0.4884536862373352]"
,Todd Robinson.,,neutral,"[0.3185114860534668, 0.378778874874115, 0.3027096390724182]"
,The Vietnam War.,,entailment,"[0.04047493264079094, 0.41792622208595276, 0.5415988564491272]"
,The effort to award the Medal of Honor to a fallen hero.,,entailment,"[0.030172698199748993, 0.4119439423084259, 0.5578833818435669]"
,Peter Fonda.,,neutral,"[0.10166982561349869, 0.4652763605117798, 0.4330538511276245]"
,Abraham Lincoln's Gettysburg Address.,,entailment,"[0.07828943431377411, 0.4125146269798279, 0.5091959238052368]"
,By uncovering an institutional conspiracy and dedicating a quest to award a long-overdue honor.,,neutral,"[0.0335671529173851, 0.690410852432251, 0.27602189779281616]"
,Richard Jenkins.,,contradiction,"[0.4519411027431488, 0.28626784682273865, 0.26179102063179016]"
,Comedy-drama.,,entailment,"[0.1573430597782135, 0.40820732712745667, 0.43444961309432983]"
,Andrew Cohn.,,neutral,"[0.33955809473991394, 0.37637048959732056, 0.2840713858604431]"
,Sundance Film Festival.,,entailment,"[0.045475903898477554, 0.4454406797885895, 0.5090834498405457]"
,Stage 6 Films.,,neutral,"[0.10458017140626907, 0.5042034983634949, 0.39121636748313904]"
,It portrays the toll of long hours and corporate pressures on personal dignity.,,neutral,"[0.009455721825361252, 0.6983159184455872, 0.2922283709049225]"
,Dee Rees.,,neutral,"[0.27856191992759705, 0.36156386137008667, 0.3598742187023163]"
,Netflix.,,entailment,"[0.06487081199884415, 0.43202823400497437, 0.5031009316444397]"
,Anne Hathaway.,,contradiction,"[0.34975335001945496, 0.3160640597343445, 0.33418259024620056]"
,Journalist.,,entailment,"[0.01724807731807232, 0.3098279535770416, 0.6729239225387573]"
,Ronald Reagan.,,entailment,"[0.09971296042203903, 0.40011832118034363, 0.5001686811447144]"
,It juxtaposes Elena's personal loss and familial betrayal against a backdrop of government corruption and covert arms deals.,,neutral,"[0.02307771146297455, 0.7142446637153625, 0.2626776099205017]"
,Sophia Loren.,,entailment,"[0.29846397042274475, 0.34445178508758545, 0.3570842444896698]"
,'The Life Before Us' by Romain Gary.,,neutral,"[0.09677912294864655, 0.5400716066360474, 0.3631492853164673]"
,Italy.,,entailment,"[0.0314481146633625, 0.38678446412086487, 0.5817674398422241]"
,A former prostitute and Holocaust survivor caring for the children of working women.,,neutral,"[0.03206281363964081, 0.6103166341781616, 0.35762059688568115]"
,By depicting the deep bond between an elderly caretaker and an orphaned boy amid social challenges.,,neutral,"[0.02662086859345436, 0.6960262060165405, 0.277352899312973]"
,"It updates the narrative to include themes of immigration, intergenerational care, and the dignity of marginalized lives.",,neutral,"[0.02480684407055378, 0.8059020042419434, 0.16929110884666443]"
,Psychological horror.,,entailment,"[0.03516291081905365, 0.47812649607658386, 0.4867106080055237]"
,Veronika Franz and Severin Fiala.,,entailment,"[0.11551123857498169, 0.4167594611644745, 0.4677293002605438]"
,Riley Keough.,,contradiction,"[0.3877067565917969, 0.30616602301597595, 0.30612725019454956]"
,A remote rural lodge during Christmas.,,neutral,"[0.03422902151942253, 0.5498390793800354, 0.41593196988105774]"
,"Through its eerie visuals, disturbing backstory, and the protagonist's recurring nightmares.",,neutral,"[0.014895414002239704, 0.7189192175865173, 0.2661854326725006]"
,"By confining its characters to a remote, winter-bound setting where supernatural and personal horrors merge.",,neutral,"[0.038546107709407806, 0.7117707133293152, 0.24968312680721283]"
,George Clooney.,,entailment,"[0.13103720545768738, 0.3828015923500061, 0.4861612319946289]"
,Science fiction.,,entailment,"[0.031485576182603836, 0.4598410725593567, 0.508673369884491]"
,Netflix.,,entailment,"[0.06487081199884415, 0.43202823400497437, 0.5031009316444397]"
,A global catastrophe that leaves Earth contaminated with ionizing radiation.,,neutral,"[0.022496432065963745, 0.5591626763343811, 0.4183409512042999]"
,"Augustine Lofthouse, an aging scientist, whose mission is to warn a returning spaceship about Earth's state.",,neutral,"[0.051964838057756424, 0.6258921027183533, 0.3221430480480194]"
,It contrasts Lofthouse's isolation and deteriorating health with the collective struggle to secure a future beyond a ruined Earth.,,neutral,"[0.027501918375492096, 0.7635266780853271, 0.20897139608860016]"
,Daniel Farrands.,,neutral,"[0.23109839856624603, 0.41595780849456787, 0.3529437184333801]"
,Crime thriller.,,entailment,"[0.035644687712192535, 0.3266044557094574, 0.6377508044242859]"
,Mena Suvari.,,neutral,"[0.3349633812904358, 0.3920983672142029, 0.2729382812976837]"
,The murder of Nicole Brown Simpson.,,entailment,"[0.03976265341043472, 0.3969130218029022, 0.5633242726325989]"
,Serial killer Glen Edward Rogers.,,entailment,"[0.04563546180725098, 0.3567134141921997, 0.5976511240005493]"
,"It offers an alternative version of events that reassigns culpability, thereby critiquing media sensationalism and conventional true-crime storytelling.",,neutral,"[0.01452808827161789, 0.624899685382843, 0.36057230830192566]"
,Christopher Nolan.,,entailment,"[0.12095355242490768, 0.33484071493148804, 0.5442057847976685]"
,John David Washington.,,entailment,"[0.21697267889976501, 0.3764994144439697, 0.4065278470516205]"
,Warner Bros. Pictures/Syncopy Inc.,,entailment,"[0.07648352533578873, 0.44304004311561584, 0.4804764688014984]"
,Time inversion.,,entailment,"[0.06370694190263748, 0.3992295265197754, 0.5370635390281677]"
,By integrating time-bending technology into high-octane sequences and intricate plot puzzles.,,neutral,"[0.033624179661273956, 0.7241575717926025, 0.2422182708978653]"
,It employs non-linear storytelling and reversed causality to force viewers to reconsider cause and effect.,,neutral,"[0.00477411225438118, 0.8882054090499878, 0.10702047497034073]"
,Ethan Hawke.,,contradiction,"[0.5689648389816284, 0.2036074846982956, 0.2274276465177536]"
,Sundance Film Festival.,,entailment,"[0.045475903898477554, 0.4454406797885895, 0.5090834498405457]"
,Eve Hewson.,,entailment,"[0.3356725871562958, 0.32455548644065857, 0.33977192640304565]"
,"The life, inventions, and rivalry of Nikola Tesla.",,entailment,"[0.03303360939025879, 0.4428744614124298, 0.5240920186042786]"
,By contrasting Tesla's visionary ideas with Edison’s resistance to alternating current technology.,,neutral,"[0.038337547332048416, 0.5715453624725342, 0.3901171088218689]"
,It blends factual biographical elements with creative storytelling to question the cost of genius and the nature of forgotten brilliance.,,neutral,"[0.028468990698456764, 0.6813988089561462, 0.29013216495513916]"
,Kitty Green.,,contradiction,"[0.4381653070449829, 0.2803744673728943, 0.2814602255821228]"
,Julia Garner.,,entailment,"[0.2321111261844635, 0.3274300694465637, 0.4404587745666504]"
,Bleecker Street.,,neutral,"[0.13217714428901672, 0.5033944249153137, 0.36442846059799194]"
,The toxic work environment and systemic abuse in the film industry.,,neutral,"[0.015153167769312859, 0.570783793926239, 0.4140630066394806]"
,By following one grueling day of mundane and demeaning tasks that reveal a culture of harassment.,,neutral,"[0.02689414843916893, 0.8005777597427368, 0.17252813279628754]"
,By revealing the subtle yet corrosive abuses embedded in everyday office routines and the complicity of higher management.,,neutral,"[0.018097396939992905, 0.718654215335846, 0.2632482945919037]"
,Judd Apatow,,neutral,"[0.2632790505886078, 0.45669984817504883, 0.2800211012363434]"
,Judd Apatow,,neutral,"[0.2632790505886078, 0.45669984817504883, 0.2800211012363434]"
,He was a firefighter.,,neutral,"[0.019317056983709335, 0.6453453898429871, 0.3353375792503357]"
,Pete Davidson portrays Scott Carlin.,,neutral,"[0.0992618054151535, 0.468423992395401, 0.4323142170906067]"
,"He struggles with mental health issues including ADD and Crohn’s disease, as well as commitment issues.",,neutral,"[0.01919982023537159, 0.8173917531967163, 0.16340844333171844]"
,He shifts from rejecting the idea of firefighters to bonding with them and understanding his father's legacy.,,neutral,"[0.04367602989077568, 0.7645126581192017, 0.19181135296821594]"
,It represents his journey from resentment to acceptance as he reconciles his personal identity with his father’s legacy.,,neutral,"[0.0219162218272686, 0.7705088257789612, 0.20757493376731873]"
,The Medal of Honor.,,entailment,"[0.1779153048992157, 0.40458711981773376, 0.4174976050853729]"
,The Vietnam War.,,entailment,"[0.04047493264079094, 0.41792622208595276, 0.5415988564491272]"
,"William H. Pitsenbarger, a U.S. Air Force Pararescueman.",,neutral,"[0.0989813357591629, 0.4682328999042511, 0.4327857196331024]"
,He is driven by the need to uncover the truth behind the hero’s sacrifice and a hidden bureaucratic conspiracy.,,neutral,"[0.0354747474193573, 0.8134523630142212, 0.1510728895664215]"
,It shows his selfless decision to remain in harm’s way under heavy fire to save others.,,neutral,"[0.01445683091878891, 0.779732882976532, 0.2058102786540985]"
,It reveals systemic neglect—specifically the failure to recognize enlisted personnel—and exposes a long-hidden conspiracy in awarding honors.,,neutral,"[0.1006544902920723, 0.8703162670135498, 0.02902921475470066]"
,Psychological horror.,,entailment,"[0.03516291081905365, 0.47812649607658386, 0.4867106080055237]"
,She is the soon-to-be stepmother.,,neutral,"[0.025211084634065628, 0.6775575280189514, 0.2972313463687897]"
,At a remote lodge in Massachusetts during Christmas.,,neutral,"[0.023995215073227882, 0.668070375919342, 0.307934433221817]"
,"Missing belongings, malfunctioning appliances, and unexplained time shifts suggest supernatural disturbances.",,neutral,"[0.025090081617236137, 0.5689641237258911, 0.4059458076953888]"
,"They manipulate events by drugging Grace, hiding their belongings, and staging supernatural occurrences.",,neutral,"[0.04126908257603645, 0.8065385818481445, 0.15219227969646454]"
,"It symbolizes a limbo of guilt and unresolved trauma, driving Grace’s psychological collapse.",,neutral,"[0.022455208003520966, 0.9086126089096069, 0.06893208622932434]"
,Armando Iannucci directed the film.,,neutral,"[0.2491253763437271, 0.4398181140422821, 0.3110564947128296]"
,He collects noteworthy quotes from his life.,,neutral,"[0.003526004496961832, 0.8051470518112183, 0.19132700562477112]"
,"His aunt, Betsey Trotwood.",,neutral,"[0.047684747725725174, 0.5014333128929138, 0.4508819282054901]"
,They instill in him resilience and a drive for self-improvement after enduring abuse and poverty.,,neutral,"[0.0062426915392279625, 0.9159358739852905, 0.07782136648893356]"
,"He provides both comic relief and support, despite his own financial troubles.",,neutral,"[0.015939628705382347, 0.7175982594490051, 0.2664620876312256]"
,"It creates a layered narrative that blurs memory with storytelling, deepening our insight into David’s inner life.",,neutral,"[0.021730313077569008, 0.7743768692016602, 0.20389282703399658]"
,"To rescue his pet snail, Gary.",,neutral,"[0.05516400188207626, 0.5261937379837036, 0.4186422526836395]"
,Patrick is SpongeBob's best friend.,,neutral,"[0.04352671653032303, 0.6232930421829224, 0.33318018913269043]"
,Tim Hill directed the film.,,neutral,"[0.06719394028186798, 0.549493134021759, 0.3833129107952118]"
,It mixes fully computer-generated imagery with live-action sequences.,,neutral,"[0.01212355773895979, 0.7126515507698059, 0.2752249240875244]"
,"It symbolizes bravery, although its true power comes from the characters’ own inner strength.",,neutral,"[0.018120886757969856, 0.7604854106903076, 0.22139373421669006]"
,"It shows that true bravery comes from within and that teamwork is essential, reinforcing the value of friendship.",,neutral,"[0.018896209076046944, 0.7164582014083862, 0.26464563608169556]"
,Alan Ball directed the film.,,neutral,"[0.06231549009680748, 0.531438946723938, 0.40624547004699707]"
,Frank is her uncle.,,neutral,"[0.0109793022274971, 0.562404215335846, 0.4266164004802704]"
,It is set in the 1970s.,,neutral,"[0.0089454036206007, 0.6541234254837036, 0.33693116903305054]"
